,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
262,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
263,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95
264,0.563,0.639,0,-8.205,1,0.0684,0.107,1.06e-05,0.446,0.518,169.985
265,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
266,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949
267,0.642,0.232,2,-13.378,0,0.0388,0.912,7.91e-05,0.108,0.111,113.884
268,0.603,0.148,7,-10.449,1,0.0279,0.927,0.0,0.101,0.228,95.451
269,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93
270,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857
271,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
272,0.498,0.508,2,-7.262,0,0.0351,0.439,0.0,0.501,0.376,77.583
273,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881
274,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959
275,0.373,0.562,1,-7.26,1,0.0346,0.643,0.000184,0.118,0.203,171.49
276,0.595,0.511,0,-11.198,1,0.0347,0.238,0.00198,0.123,0.338,137.915
277,0.848,0.45,1,-12.165,1,0.191,0.514,0.0,0.127,0.667,116.012
278,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986
279,0.608,0.358,0,-10.018,0,0.0253,0.854,0.0186,0.113,0.365,103.94
280,0.426,0.228,2,-10.552,1,0.0322,0.203,0.14,0.0832,0.0826,147.986
281,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607
282,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884
283,0.604,0.741,2,-5.571,1,0.0475,0.178,3.49e-05,0.409,0.473,153.947
284,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997
285,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
286,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867
287,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006
288,0.375,0.133,0,-10.624,0,0.0352,0.651,0.0,0.0695,0.192,131.721
289,0.236,0.249,6,-9.595,0,0.0348,0.811,1e-06,0.087,0.181,72.847
290,0.382,0.422,2,-10.699,1,0.037,0.934,0.95,0.0695,0.0368,92.378
291,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01
292,0.542,0.304,11,-9.08,1,0.0346,0.638,0.000118,0.106,0.12,114.827
293,0.372,0.255,7,-6.834,1,0.0344,0.436,0.0,0.33,0.254,114.402
294,0.588,0.311,8,-11.185,0,0.0332,0.769,0.0,0.113,0.295,119.954
295,0.712,0.0784,4,-19.067,1,0.0544,0.739,0.0,0.107,0.642,121.443
296,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005
297,0.768,0.51,6,-8.023,0,0.288,0.0457,1.85e-06,0.0929,0.243,80.5
298,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023
299,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467
300,0.458,0.347,11,-6.651,0,0.0381,0.712,0.0,0.11,0.431,78.928
301,0.658,0.31,0,-5.796,1,0.0314,0.616,0.0,0.0507,0.182,101.968
302,0.606,0.328,10,-7.824,1,0.0305,0.876,0.0,0.138,0.393,124.041
303,0.63,0.44,2,-7.186,1,0.0249,0.822,3.87e-06,0.0926,0.343,98.082
304,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187
