,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
236,0.612,0.74,4,-4.752,1,0.0364,0.216,4.99e-06,0.194,0.532,85.986
237,0.733,0.886,2,-1.856,0,0.0426,0.0481,1.81e-06,0.191,0.696,126.031
238,0.747,0.829,11,-6.157,0,0.106,0.101,0.0,0.168,0.793,119.982
239,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069
240,0.761,0.695,5,-4.048,1,0.0886,0.0783,0.0,0.14,0.69,118.004
241,0.691,0.759,6,-3.37,0,0.0584,0.111,0.0,0.128,0.72,106.982
242,0.609,0.88,7,-6.676,0,0.0386,0.000817,1.07e-05,0.0647,0.736,145.007
243,0.575,0.831,10,-4.916,1,0.0781,0.0337,0.0,0.276,0.646,96.988
244,0.548,0.81,2,-4.552,1,0.0422,0.0665,0.0,0.236,0.858,175.87
245,0.623,0.75,8,-4.574,1,0.178,0.0319,0.0,0.05,0.555,139.12
246,0.794,0.686,8,-3.566,1,0.205,0.0865,0.0,0.0656,0.759,98.05
247,0.654,0.733,2,-4.752,1,0.0269,0.312,2.33e-06,0.124,0.575,102.962
248,0.767,0.635,0,-5.386,0,0.0579,0.0937,0.0,0.233,0.827,108.029
249,0.648,0.641,7,-5.521,1,0.0389,0.00565,3.63e-06,0.109,0.505,184.021
250,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994
251,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966
252,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
253,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
254,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996
255,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
256,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004
257,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981
258,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
259,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966
260,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872
261,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03
262,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041
263,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044
264,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041
265,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034
266,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977
267,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045
268,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988
269,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
270,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988
271,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
272,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98
273,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069
274,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968
275,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781
276,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997
277,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.835
278,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988
279,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97
280,0.774,0.792,10,-4.021,1,0.0523,0.051,0.0,0.155,0.507,122.062
281,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133
282,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857
283,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019
284,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958
285,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04
286,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012
287,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
288,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947
289,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
290,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941
291,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
292,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932
293,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812
294,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994
295,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001
296,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985
297,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
298,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972
299,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
300,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488
301,0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625
